iter	Passed	Remaining
617	32288	19958
618	32334	19901
619	32379	19845
620	32423	19787
621	32465	19729
622	32511	19673
623	32555	19616
624	32605	19563
625	32647	19505
626	32693	19449
627	32741	19394
628	32796	19344
629	32842	19288
630	32882	19229
631	32930	19174
632	32982	19122
633	33025	19065
634	33071	19009
635	33117	18953
636	33162	18897
637	33211	18844
638	33250	18784
639	33289	18725
640	33331	18667
641	33378	18613
642	33423	18557
643	33475	18505
644	33522	18450
645	33564	18393
646	33613	18339
647	33664	18286
648	33708	18230
649	33759	18178
650	33813	18127
651	33859	18072
652	33906	18017
653	33948	17960
654	33990	17903
655	34036	17848
656	34082	17793
657	34132	17740
658	34178	17685
659	34221	17629
660	34262	17572
661	34308	17516
662	34352	17461
663	34405	17409
664	34450	17354
665	34494	17299
666	34542	17245
667	34589	17191
668	34636	17136
669	34680	17081
670	34723	17025
671	34768	16970
672	34810	16914
673	34859	16860
674	34902	16804
675	34949	16750
676	34994	16695
677	35044	16643
678	35088	16588
679	35132	16532
680	35173	16476
681	35218	16421
682	35271	16370
683	35319	16317
684	35367	16263
685	35412	16209
686	35455	16153
687	35508	16102
688	35552	16047
689	35594	15991
690	35640	15937
691	35684	15882
692	35742	15834
693	35793	15782
694	35846	15731
695	35893	15677
696	35943	15625
697	35998	15575
698	36046	15522
699	36098	15470
700	36147	15418
701	36190	15362
702	36242	15311
703	36291	15258
704	36333	15203
705	36380	15149
706	36427	15096
707	36478	15044
708	36525	14991
709	36568	14936
710	36613	14882
711	36662	14829
712	36715	14778
713	36761	14725
714	36807	14671
715	36847	14615
716	36894	14562
717	36941	14508
718	36988	14455
719	37032	14401
720	37073	14345
721	37113	14290
722	37155	14235
723	37203	14182
724	37246	14127
725	37288	14072
726	37333	14019
727	37381	13966
728	37424	13912
729	37468	13858
730	37514	13804
731	37558	13750
732	37611	13700
733	37655	13646
734	37697	13591
735	37742	13537
736	37784	13483
737	37829	13429
738	37878	13378
739	37926	13325
740	37966	13270
741	38006	13215
742	38049	13161
743	38097	13108
744	38140	13054
745	38185	13001
746	38229	12948
747	38279	12896
748	38321	12842
749	38366	12788
750	38410	12735
751	38455	12682
752	38495	12627
753	38546	12576
754	38588	12522
755	38634	12469
756	38678	12416
757	38728	12364
758	38782	12314
759	38827	12261
760	38869	12207
761	38914	12154
762	38955	12100
763	39003	12048
764	39055	11997
765	39096	11943
766	39140	11890
767	39183	11836
768	39235	11785
769	39280	11733
770	39326	11680
771	39368	11627
772	39409	11572
773	39458	11521
774	39502	11468
775	39546	11415
776	39592	11363
777	39634	11309
778	39676	11256
779	39732	11206
780	39772	11152
781	39818	11100
782	39859	11046
783	39907	10995
784	39949	10941
785	39991	10888
786	40030	10834
787	40072	10780
788	40115	10727
789	40166	10677
790	40209	10624
791	40251	10571
792	40298	10519
793	40342	10466
794	40396	10416
795	40438	10363
796	40476	10309
797	40518	10256
798	40561	10203
799	40606	10151
800	40659	10101
801	40703	10049
802	40744	9995
803	40791	9944
804	40843	9893
805	40887	9841
806	40933	9789
807	40986	9739
808	41027	9686
809	41076	9635
810	41119	9582
811	41165	9530
812	41210	9478
813	41252	9426
814	41299	9374
815	41347	9323
816	41393	9271
817	41438	9219
818	41483	9167
819	41531	9116
820	41574	9064
821	41620	9012
822	41670	8961
823	41718	8910
824	41779	8862
825	41835	8812
826	41881	8761
827	41935	8711
828	41990	8661
829	42040	8610
830	42089	8559
831	42132	8507
832	42171	8454
833	42222	8403
834	42268	8352
835	42311	8300
836	42357	8248
837	42400	8196
838	42448	8145
839	42494	8094
840	42538	8042
841	42580	7990
842	42624	7938
843	42677	7888
844	42723	7836
845	42772	7785
846	42813	7733
847	42853	7681
848	42901	7630
849	42944	7578
850	42987	7526
851	43032	7475
852	43075	7423
853	43116	7371
854	43162	7319
855	43206	7268
856	43253	7217
857	43293	7165
858	43340	7114
859	43382	7062
860	43427	7010
861	43465	6958
862	43506	6906
863	43555	6855
864	43598	6804
865	43640	6752
866	43681	6700
867	43725	6649
868	43791	6601
869	43836	6550
870	43879	6498
871	43922	6447
872	43970	6396
873	44025	6346
874	44084	6297
875	44129	6246
876	44175	6195
877	44222	6144
878	44276	6094
879	44324	6044
880	44370	5993
881	44418	5942
882	44465	5891
883	44513	5841
884	44554	5789
885	44598	5738
886	44645	5687
887	44685	5635
888	44736	5585
889	44780	5534
890	44825	5483
891	44872	5432
892	44917	5382
893	44969	5331
894	45011	5280
895	45056	5229
896	45098	5178
897	45141	5127
898	45182	5076
899	45269	5029
900	45312	4978
901	45361	4928
902	45405	4877
903	45452	4826
904	45494	4775
905	45539	4724
906	45584	4674
907	45637	4624
908	45687	4573
909	45737	4523
910	45785	4473
911	45831	4422
912	45882	4372
913	45921	4320
914	45964	4269
915	46006	4218
916	46048	4167
917	46089	4116
918	46140	4066
919	46185	4016
920	46227	3965
921	46266	3914
922	46313	3863
923	46361	3813
924	46412	3763
925	46453	3712
926	46499	3661
927	46541	3610
928	46590	3560
929	46637	3510
930	46681	3459
931	46727	3409
932	46773	3358
933	46825	3308
934	46870	3258
935	46915	3207
936	46956	3157
937	46999	3106
938	47055	3056
939	47100	3006
940	47144	2955
941	47188	2905
942	47230	2854
943	47276	2804
944	47318	2754
945	47365	2703
946	47406	2653
947	47449	2602
948	47503	2552
949	47546	2502
950	47588	2451
951	47632	2401
952	47686	2351
953	47740	2301
954	47786	2251
955	47831	2201
956	47873	2151
